month,year,SVENY0025,SVENY0050,SVENY0075,SVENY0100,SVENY0200,SVENY0300,SVENY0500,SVENY0700,SVENY1000,SVENY1500,SVENY2000,SVENY3000
Jun,11,0.2142,0.1912,2.5152,0.2068,0.4129,0.7568,1.5767,2.3451,3.2172,4.0143,4.3563,4.5918
Jul,11,0.23,0.2053,2.5008,0.2151,0.4061,0.7367,1.5467,2.3259,3.231,4.0708,4.4199,4.6212
Aug,11,0.234,0.1881,1.8187,0.148,0.2231,0.4334,1.0343,1.6696,2.4695,3.3013,3.7085,4.0144
Sep,11,0.1843,0.156,1.5609,0.138,0.2184,0.4011,0.9046,1.4357,2.1127,2.8355,3.2004,3.4774
Oct,11,0.1785,0.1619,1.7611,0.1681,0.2959,0.5206,1.082,1.6352,2.2948,2.9255,3.1897,3.3246
Nov,11,0.1869,0.164,1.5879,0.1542,0.2447,0.4322,0.9377,1.4646,2.1242,2.7866,3.0666,3.1749
Dec,11,0.1839,0.1635,1.5509,0.1564,0.2458,0.4273,0.9167,1.4301,2.0792,2.7403,3.0234,3.1295
Jan,12,0.1827,0.1597,1.5127,0.147,0.2242,0.3951,0.8734,1.3895,2.0594,2.7643,3.0736,3.1775
Feb,12,0.2388,0.2152,1.4915,0.1985,0.2613,0.4148,0.8642,1.3684,2.0498,2.8057,3.1552,3.2643
Mar,12,0.219,0.2136,1.7159,0.2306,0.3508,0.5494,1.0577,1.5896,2.2771,3.0089,3.3357,3.4379
Apr,12,0.2496,0.2308,1.5763,0.2231,0.3021,0.469,0.9373,1.4518,2.1373,2.8878,3.2306,3.3371
May,12,0.2561,0.2379,1.3516,0.2265,0.2831,0.4155,0.803,1.2432,1.851,2.5572,2.9158,3.0907
Jun,12,0.2309,0.227,1.2206,0.2354,0.3046,0.4255,0.7553,1.1278,1.6564,2.307,2.6625,2.8388
Jul,12,0.2412,0.2266,1.116,0.2159,0.2548,0.3538,0.6589,1.0236,1.5554,2.2178,2.5712,2.6969
Aug,12,0.2452,0.227,1.2639,0.214,0.2633,0.3848,0.7464,1.1613,1.7378,2.409,2.7442,2.882
Sep,12,0.2579,0.2324,1.2524,0.2067,0.2371,0.3482,0.7095,1.1432,1.7648,2.5075,2.8765,2.9735
Oct,12,0.2558,0.2371,1.2769,0.2225,0.2668,0.3838,0.744,1.1698,1.7801,2.5165,2.8898,2.9987
Nov,12,0.2522,0.2338,1.2038,0.2184,0.2574,0.3654,0.702,1.1027,1.6812,2.3896,2.7627,2.9136
Dec,12,0.2313,0.2142,1.255,0.2021,0.25,0.3688,0.7282,1.1494,1.7504,2.4757,2.85,2.9906
Jan,13,0.2089,0.1921,1.4286,0.1848,0.2546,0.4045,0.8321,1.3113,1.9653,2.7083,3.0658,3.1933
Feb,13,0.2162,0.1971,1.4905,0.1876,0.2592,0.4165,0.8661,1.368,2.0483,2.8118,3.1728,3.2973
Mar,13,0.213,0.1938,1.4596,0.183,0.2498,0.401,0.8401,1.3373,2.0215,2.8062,3.1869,3.3192
Apr,13,0.1901,0.1747,1.2752,0.1664,0.2222,0.3494,0.7264,1.1652,1.7906,2.5461,2.9366,3.0797
