date,total_assets_top25,interest_earning_assets_top25,total_interest_expense_top25,total_interest_inc_top25,net_interest_income_top25,nim_top25,loans_real_estate_top25,loans_agr_top25,loans_ci_top25,loans_consumer_top25,loans_foreign_top25,loans_other_dom_top25,lease_financing_top25,inc_depository_inst_top25,inc_on_securities_top25,inc_trading_assets_top25,inc_fedfunds_top25,other_interest_inc_top25,expense_trans_accnts_top25,expense_nontrans_accnts_top25,expense_fedfunds_top25,expense_trade_liab_top25,expense_sub_debt_top25,assets_depository_inst_top25,assets_securities_notrade_top25,assets_fedfunds_top25,assets_all_loans_top25,assets_trading_accnts_top25
05Q1,5651314948,4752551644,22156867.5,61801176.55,39644309.04,0.834168927,19564475.1,129981.9206,7939009.249,10146739.06,23371.31781,1621509.962,1545780.682,949227.8301,9777913.529,2889485,1432266.603,432656.2877,280810.7096,8530815.564,2696114.997,4937075.537,1304714.058,"123,810,486","885,408,233","308,407,142","3,095,508,130","342,487,799"
05Q2,5719158945,4816904912,25071573.39,64169122.46,39097549.07,0.811673674,20536995.65,134343,8388917.584,10212137.99,26378.13483,1777692.202,1524050.798,830191.2023,9808909.73,3180813,1767968.405,396155.618,362754.4944,9749026.225,3119730.753,5525884.101,1412943.775,"99,065,108","896,966,959","337,840,975","3,133,409,253","350,249,850"
05Q3,5823494367,4909898367,29095109.84,69287861.67,40192751.83,0.818606595,22760186.39,160835.3056,8993025.25,11099226.56,-41580,2117576.972,1450342.778,913911.6667,10107644.17,3091496,2223313.5,424806.0833,381882.0278,11190780.06,4068284.361,5991562.278,1469226.112,"92,106,370","896,153,007","337,310,319","3,245,278,874","341,334,884"
05Q4,5896459600,5029843888,33295866.79,74129336.75,40833469.95,0.811823803,24138035.55,172377.2279,9671295.331,11656712.07,2368,2207437.11,1405846.941,1201517.177,10615555.56,3192523,3120320.548,498003.2353,388336.375,12893250.22,4899804.544,6531561.338,1675151,"93,679,162","901,540,230","372,676,176","3,319,037,833","343,025,587"
06Q1,6197649406,5229287715,37388994.29,79241533.28,41852539,0.800348753,25790512.96,175889,10328487.33,12195908.96,3219,2441033.395,1459489,1262047.808,11279731.15,3622710,3478865.512,465817.1616,328879.9616,14646172.33,5605948,7401890,1734552,"100,675,595","940,270,584","380,709,342","3,446,785,847","362,926,973"
06Q2,6396271748,5458552291,42123227.48,84860015.05,42736787.56,0.78293264,27516288.56,190778.0562,11116060.74,12788783.42,3451,2418347.258,1516927.27,1565768.753,12419789.94,3767000,3587904.214,511225.8315,378567.9551,16631870.32,6428400.921,7861402.292,1868730,"123,874,883","1,001,145,410","407,335,432","3,532,337,366","393,887,574"
06Q3,6493511127,5542662506,46557698.29,89626975.02,43069276.73,0.77705032,28547708.65,209078.4278,11716802.16,13482622.32,4211,2816751.194,1429385,1750774.844,12941708.92,4024634,4283324.689,513416.8167,407699.5833,18446613.02,7120071.594,8308974.1,1959569,"129,298,121","1,012,551,725","410,266,176","3,582,230,549","408,942,772"
06Q4,6883292843,5876087321,56620530.19,105537748.4,48917218.16,0.832479429,39666493.72,223235.25,12099242.19,13716678.87,4621,5029225.228,1529632.489,1804129.515,13454000.32,4232982.875,5815472.257,658034.636,512509.6177,20984319.78,7825632.548,13957557,2105038.368,"128,573,487","1,020,344,246","444,735,367","3,848,805,539","435,653,540"
07Q1,6953749048,5943578047,50475270.58,96954319.97,46479049.39,0.782004527,31662979.94,218108.4959,12487870.56,14170835.02,2498,2525468.28,1376095,1647589.619,13165385.09,5417780,5555502.841,603714.1233,470827.2137,19573905.39,7615250.644,8944651.14,2065882.195,"130,920,340","1,015,578,801","436,819,990","3,880,074,198","482,308,242"
07Q2,7183732936,6139423739,53338019.1,101145780,47807760.93,0.778701112,32905399.28,222658.3258,13182796.99,14191446.7,1341,2674385,1334961.742,1837610.112,13367661.75,5421412,6088058.382,634523.7528,349510.1573,20082157.17,8096987.449,10023454.33,2138143,"146,132,915","1,017,763,359","472,754,582","4,012,106,825","490,691,928"
07Q3,7580035033,6366032821,56566564.71,108111917.1,51545352.42,0.809693476,33689123,229626,13871939.67,15997469.86,2465,2485277.361,1348741,2617562.844,14088962.75,6486057,5944431.611,788661.9611,538155.0111,20981001.43,8066193.161,10446291.11,2297106,"189,119,601","1,065,809,254","457,430,765","4,141,805,612","511,969,956"
07Q4,7973376539,6739603088,57178876.46,110179088.2,53000211.77,0.786399601,34590593.2,206879,13990953.25,15651093.89,1568,3135701.268,1374200,2529532.776,13840418.67,6519215,5980570.75,1285304.415,428400.6802,22081855.14,7454943.831,10899297.81,2263434,"203,441,869","1,041,639,680","494,200,422","4,428,770,661","574,628,776"
08Q1,8274381364,6855788171,48524842,103997550,55472708,0.809136844,32675263,177241,12409217,15192148,2268,2846278,1470488,2254903,13513320,6954171,4734248,801365,333547,19090171,5737852,9884047,2191458,"202,886,115","1,051,128,884","545,584,519","4,480,522,628","575,666,025"
08Q2,8171805492,6906132026,38179761.57,94703611.69,56523850.12,0.81845887,30413547.22,158125.0667,11212001.74,14485845.81,1066,2143803.611,-642440.8,2310591.811,13417596.42,6219418.933,3683505.1,657795.7667,205662.3889,14431172.58,4386390.6,8054467,1814436,"228,204,000","1,095,784,672","550,858,806","4,491,793,620","541,892,753"
08Q3,8769294205,7243948826,36593161.37,93705738,57112576.63,0.788417726,29683098.33,160198,11028515.37,14869044.76,2860,2283838.332,828678,2022305.901,14016098.7,5741286,3760629.718,540145.9061,195266.8011,13676451.6,4169842.459,7906072.895,1586725.619,"227,518,402","1,189,749,418","602,969,639","4,687,210,455","533,926,579"
08Q4,8990301256,7423791722,33462362.85,98084314.83,64621951.98,0.870470972,31722476.89,142104.8059,10439992.81,16001696.68,1595,2337769.528,895835.6667,3026461.828,15750581.03,5873692.333,2155912.132,879900.1245,176014.9634,14659671.07,2179176.264,8652390.886,2050582.333,"474,371,298","1,214,936,053","586,620,374","4,690,440,967","481,678,339"
09Q1,8710866124,7550181162,20474884.09,83637503.47,63162619.38,0.836570912,27052072.62,121191,8838253.343,15151542.64,3696,1509918,1423387,1488351.592,15373636.57,4081364,1038339.688,612457.0219,76445.62466,9836014.636,914009,5349868.827,1464480,"605,506,576","1,317,715,924","603,212,626","4,598,805,685","427,215,623"
09Q2,8612379511,7612812066,19443459.91,83341973.11,63898513.2,0.839354928,28694894.53,125976,8817375.09,14082024.1,3676,1564105.742,1335772.393,1128210,15998018.35,4010200,738486,479293.9101,116078.2472,9104102.528,675365.8539,5526107.775,1409517.506,"640,741,417","1,409,591,206","551,885,931","4,595,743,068","419,722,796"
09Q3,8587434546,7425336333,16725687.25,79621470,62895782.75,0.84704288,26624062.75,143629.75,8042854.25,13833623,2478,1579189.75,1227701,882889.5,15838492.25,3852863,707343.5,558171.25,115307.5,7877392.5,649557.75,4702067,1193930.5,"616,001,083","1,456,758,985","458,812,961","4,450,806,313","447,205,030"
09Q4,8580300980,7515035179,15419718.59,83614986.72,68195268.14,0.907451083,30192866.16,134882,7923641.507,14646436.23,3712,1569491.412,1268460.64,950489.0993,15859159.8,3600449.662,759466.9632,432550.2537,137639.0956,7474307.022,421041.0882,5004750.382,1135069,"716,042,191","1,535,760,815","409,161,182","4,395,217,880","463,719,258"
10Q1,8823585967,7734828541,14703328,87338810,72635482,0.939070357,25783260,122110,7619313,24492417,3295,1378921,1291083,845460,15166354,3013648,818431,411365,109692,5931959,354218,5437151,937674,"662,275,345","1,567,902,941","374,090,488","4,698,594,928","431,964,839"
10Q2,8712557643,7620157081,13843692.87,83824406.36,69980713.49,0.918363136,25942400.81,120879.3483,7755669.865,21503949.3,3361,1661046.247,1254481.27,859739.1348,14319072.78,2903647.36,861664.9551,458667.2921,94808.14607,5372252.843,368732.9326,5104542.944,885049,"691,615,227","1,594,478,090","379,413,470","4,540,827,473","416,226,369"
10Q3,8863983770,7525639612,13060406,82240339,69179933,0.919256523,25352501,123363,7677182,21012047,3442,1565808,1145634,879652,13624683,3080684,1027888,497537,80472,5041182,236228,4640445,1009696,"588,614,526","1,632,387,349","393,911,292","4,467,863,672","442,862,773"
10Q4,8816518904,7684115984,13526497.46,81209329.1,67682831.65,0.880814811,24861259.74,119746,7657372.677,20186795.44,2373,1493248,1180822,890064.5588,13605413.78,3149367,1183071.456,427988.4559,87624.92647,4632538.412,971607,4582278.118,878764,"577,064,562","1,692,890,769","421,866,847","4,495,380,832","497,813,427"
11Q1,8906798603,7643402157,12242633.16,79696919.62,67454286.46,0.882516517,24097247.22,116146.0274,7701383.597,19710165.17,2223,1421143,1260367,1002157.912,13320182.91,3116906,1129306,499163.7781,81432.74521,4216317.595,570576.7507,4125802.069,878514,"629,259,598","1,675,692,790","395,040,663","4,447,020,671","501,502,787"
11Q2,9106463128,7737908259,12601657.45,80228778.48,67627121.03,0.873971605,23015049.33,110018.6517,7595483.258,20729857.71,1234,1440325.832,1097018,1143085.663,13217854.46,3464607,1165944.056,494999.5281,86395.7191,4191735.371,613482.4494,4095196.91,807160,"682,087,339","1,705,088,854","397,161,707","4,459,864,636","494,780,757"
11Q3,9292463540,7845211465,10911001.89,76450700.39,65539698.5,0.835410222,23508380.33,124385.0278,7771639.139,18282928.03,1337,1424184.444,1083261.639,1183286.444,11466976.31,3202690.389,1301853.028,505560.6111,77067.11111,3518887.667,339286.25,3521709.056,781042.25,"785,415,854","1,717,867,528","426,094,906","4,486,417,696","430,818,572"
11Q4,9330772290,7950842564,10067567,77272884,67205317,0.845260316,23063179,137549,7950057,18846869,217,1619327,1028746,1147858,12124748,2910865,1282407,591999,69701,3499143,324792,3244790,773897,"703,397,531","1,793,013,658","455,991,296","4,566,003,570","432,436,509"
12Q1,9350035272,8020593398,9833216.118,77121958.15,67288742.03,0.838949672,22969547.58,104715.9452,7992424.206,18407565.03,1216,1609168.712,1099514.469,977485.3699,12854232.73,2812802,1312570.562,574927.5507,74707.71233,3350058.364,323651.4027,3196910.556,826872.1069,"704,461,494","1,837,080,169","435,895,271","4,600,119,473","452,130,583"
12Q2,9445452845,8042296720,9475074,75286268,65811194,0.818313428,22773971,80064,8327841,18241337,1262,1690914,926699,951594,11705830,2724161,1170300,562918,80880,3265879,333153,2993218,771461,"719,803,826","1,854,204,696","410,108,491","4,625,993,464","432,186,243"
12Q3,9574547071,8163963652,8970370.525,74913189.33,65942818.81,0.807730431,22329410.16,103745,8219898.21,19127675.72,259,1737025,890094,898094.1381,11169267.23,2558880,1090479,548903.8729,85963.62983,3218881.094,330980,2726889,722194.8011,"760,871,702","1,889,366,105","415,365,167","4,665,190,664","435,074,214"
12Q4,9819621183,8365370441,8715074.231,74772613.31,66057539.08,0.789654679,22321174.77,95015.92308,8158196.077,18816027.46,1178,1864900.385,845907,939514.6154,11161133.39,2819815,1058004,563338.6923,124784.7692,3158383.308,325701.4615,2597852.692,694647,"795,517,432","1,935,312,989","433,171,463","4,734,974,412","467,043,177"
13Q1,9797175590,8407965427,8135732,73400271,65264539,0.776222733,21618089,95934,7932108,18520783,1143,1774551,899945,893181,11415167,2932293,982619,458384,117955,2841096,352132,2444966,736560,"785,720,707","1,938,021,794","416,664,754","4,759,286,246","508,271,926"
