date,total_assets_top25,interest_earning_assets_top25,total_interest_expense_top25,total_interest_inc_top25,net_interest_income_top25,nim_top25,loans_real_estate_top25,loans_agr_top25,loans_ci_top25,loans_consumer_top25,loans_foreign_top25,loans_other_dom_top25,lease_financing_top25,inc_depository_inst_top25,inc_on_securities_top25,inc_trading_assets_top25,inc_fedfunds_top25,other_interest_inc_top25,expense_trans_accnts_top25,expense_nontrans_accnts_top25,expense_fedfunds_top25,expense_trade_liab_top25,expense_sub_debt_top25,assets_depository_inst_top25,assets_securities_notrade_top25,assets_fedfunds_top25,assets_all_loans_top25,assets_trading_accnts_top25
89Q3,1372622170,1208615027,25571930.19,36002721.54,10430791.35,0.863036709,6775488.757,111036.7272,5962404.415,4637438.682,26205.92024,1843325.338,666842,2283115.55,3582142.128,1061820,1312576.022,,612645.7278,9271100.778,3390320.567,4704736.1,318615.5389,"80,180,192","157,031,808","55,169,664","884,254,709","33,305,480"
89Q4,1390523584,1236271756,26298346.88,36962010.69,10663663.81,0.862566321,7036358.962,102424.1505,5692714.892,4982459.313,15420.55333,1635706.519,856679.0515,2211251.022,3598935.699,1144190.904,1328442.625,,635100.3346,9424732.824,3422702.507,4976427.702,311743.2059,"77,831,703","157,035,773","60,660,058","902,524,941","39,410,689"
90Q1,1419023184,1257753437,26727361.17,37473551.2,10746190.03,0.854395601,6831372.779,99698.45897,5524526.629,4899834.165,20245.88875,1664830.668,903086.8822,2371404.427,3801668.762,1196152.537,1235712.006,,643820.7233,9157345.784,3145207.606,5670469.036,333322.8356,"80,216,997","162,589,057","59,573,987","913,976,226","42,655,873"
90Q2,1436564544,1261466372,23645457.96,34423437.67,10777979.72,0.854400875,6967990.483,100944.8126,5528514.865,4882692.222,24164.89765,1580732.349,617889.8315,1981277.124,3831356,1093102.775,1338638.315,,660121.5955,9298949.73,2962020.214,3098247.337,327402,"75,681,819","169,637,877","63,835,007","920,767,144","40,040,039"
90Q3,1460727658,1298313074,24236546.24,35557569.88,11321023.64,0.871979484,7304179.869,109934.5255,5626780.309,5084956.963,23031.88612,1575580.053,618084.9556,1796388.622,3976918.111,1217731,1371762.589,,672690.5167,9615425.333,3111572.228,2958706.022,326308,"70,210,358","178,881,140","66,128,716","938,205,124","46,780,358"
90Q4,1434783059,1289268890,24196259.22,35842241.92,11645982.69,0.903301304,7314442.009,108700.2282,5537196.633,5178594.51,22068.91567,1730630.11,749466,1684201.169,3966953.471,1153247,1258625.871,,655842.9779,9727623.875,2876054.188,3281324.029,330482.1544,"60,086,008","176,334,460","63,299,344","946,472,067","46,595,271"
91Q1,1417705241,1279790662,21017283.42,32800869.48,11783586.06,0.920743244,7096400.992,111266.5585,4858983.846,5231736.513,17691.42012,1341661.389,656604.3206,1284708.978,4016717.707,928553.326,1016772.433,,686247.1945,9165981.753,2208399.704,2512546.956,447292,"53,040,449","178,410,446","63,185,439","944,467,813","42,562,561"
91Q2,1453065533,1290265755,19233917.06,31250567.56,12016650.51,0.93133143,7145276.638,104247.9916,4593827.706,5120848.6,13111.04378,1264072.818,608328.3933,1161444.449,3965437.112,926008.9214,974534.8876,,715963.0899,8874722.775,1977429.562,2050477.315,392201.573,"49,386,651","183,085,241","66,620,448","945,876,214","46,514,800"
91Q3,1496944144,1297463734,18797945.91,31292500.21,12494554.29,0.962998346,7153456.21,109841.8463,4348260.169,5005942.294,13323.86549,1269212.154,677115.5944,1254781.844,3962409.617,1036420.917,1042098.533,,730433.6556,8535327.656,1897418.233,2162745.428,399584.2556,"53,613,122","186,476,675","68,206,863","940,062,595","52,998,519"
91Q4,1530466411,1370185305,19006480.09,32196138.45,13189658.36,0.962618583,7066841.24,102515.8292,4239281.214,5059620.377,14786.86408,1169082.983,737672.5404,1450406.221,4285144.61,1167511,960084.5699,,711621.6397,8121707.882,1777725.268,2613088.754,428569.5478,"56,311,893","207,776,309","77,170,333","965,641,411","65,001,209"
92Q1,1542668191,1392225597,16744116.86,30356839.23,13612722.38,0.977766995,6447940.811,83638.21212,3652470.768,4947629.169,13663.86027,1069791.54,683787,1423892.551,4314996.66,1093457,890237.663,,529843.9863,6682392.732,1510873.589,2473352.427,359126,"64,095,463","223,441,339","87,603,711","951,955,941","67,633,970"
92Q2,1575048888,1399400735,15740696.7,29771023.92,14030327.22,1.002595388,6450375.875,83532.42682,3703149.085,4810308.129,13566.52861,1000142.523,660030.4778,1246981.467,4295163.389,1198236.922,811465.6333,,507231.6111,6187931.567,1403801.444,2537225.122,346217.7667,"57,341,429","223,236,069","80,536,189","971,899,817","72,355,810"
92Q3,1594278271,1406302176,14943111.37,29550821.73,14607710.36,1.038731974,6147971.133,78765.47298,3567694.842,4807762.056,11003.77793,951201.9779,677865,1235840,4423020.564,1243591,640196.9061,,444867.6961,5510764.641,1213885.122,2423884.116,418530,"52,223,037","237,276,259","75,989,728","967,308,646","73,935,252"
92Q4,1604945125,1433993555,14322484.66,29498381.85,15175897.2,1.058296054,6098109.521,80069.2697,3348201.833,4724509.165,33716.15868,903597.3858,634982.6813,1305538.22,4644571.015,1370134,589031.6044,,452112.7473,4820749.143,1239419.795,2847259.883,393310.6923,"61,313,996","257,058,295","73,331,639","962,621,211","81,191,808"
93Q1,1652362581,1462252933,14075285.85,29595399.99,15520114.14,1.06138369,6398552.556,87062.11512,3459263.114,4879195.012,17671.70578,797572.1935,593764.0877,1031810.915,4469400.23,1436223.641,574072.5452,,452930.0329,4793525.351,1179343.671,2852202.189,393999.4849,"49,804,753","266,691,460","74,091,893","988,008,720","84,598,784"
93Q2,1694072518,1501127376,13842142.01,29166384.21,15324242.2,1.020848893,6214081.143,90078.29753,3484378.76,4821288.156,19143.13572,789905.9121,588443.0225,1185568.36,4438799.18,1398506,592812.2472,,437113.7079,4540378.989,1169063.461,2898217.854,404895,"51,675,729","275,124,533","77,769,336","1,003,089,580","93,772,114"
93Q3,1731057829,1530583374,14776784.17,30434752.23,15657968.07,1.023006543,6449322.327,98373.40513,3473834.086,4881589.73,11880.08677,802165.61,568177,1211772.222,4579668.933,1635250,645338.8333,,438412.7778,4454601.533,1261782.767,3567276.089,435953,"53,149,393","279,083,704","83,919,919","1,010,857,556","104,096,244"
93Q4,1782839511,1568275261,14918303.08,30524405.37,15606102.29,0.995112445,6332443.628,93778.22284,3354775.917,4880600.394,18610.84518,838929.2253,544385.1691,999442.9779,4362767.026,1725845,591082.9632,,410206.1802,4093215.224,1204229.368,3655617.346,428077,"49,342,967","285,217,834","79,925,638","1,044,638,140","110,007,938"
94Q1,1933281233,1596445593,14058030.57,30298546.32,16240515.75,1.017292154,6640102.19,95657.31756,3599907.911,5067710.459,13896.15364,907123.5143,539568.4219,854982.4247,4319685.252,1871806,611506.6795,,403107.0164,4168052.699,1297633.501,3593636.134,436768.6137,"51,845,458","295,343,944","77,846,852","1,076,654,671","96,630,555"
94Q2,1963576424,1599962863,15621108.35,32252152,16631043.65,1.039464355,6799955.669,112769.0626,3826020.647,4972411.945,18287.94998,933575.0636,545522.0112,959092.8202,4712938.832,1738066.753,762106.2472,,393937.3146,4276124.348,1596100.405,4156726.416,474681,"55,617,861","313,044,796","76,000,345","1,074,986,398","82,578,191"
94Q3,1995695492,1661037686,13965077.68,31067900.33,17102822.66,1.029646877,7286204.458,123561.4609,4093087.967,5547138.109,14457.10479,881394.8125,466751,683708.1556,4642894.678,1599598,946835.5889,,433050.9778,4700519.567,1888675.656,2409084.033,478041.4444,"52,747,946","305,895,029","79,156,723","1,131,846,041","93,068,961"
94Q4,2038028156,1705558366,16286116.4,33657034.61,17370918.21,1.01848864,7716958.965,131861.9828,4760389.431,5842240.352,19119.6699,1083575.6,532960,885888.2831,4660216.912,1818272,1216547.412,,455047.8456,5233336.776,2243178.18,2988241.382,546118,"53,721,840","298,172,084","86,852,059","1,171,553,426","96,420,276"
95Q1,2129801732,1732808706,18387223.69,35780473.35,17393249.66,1.003760519,8177184.179,142418.8999,5212420.037,6117925.252,13404.43932,1371884.774,541932.0712,1008328.249,4714651.058,1863149,1293333.392,,480022.6685,5768759.485,2482309.08,3500207.441,616203.2384,"57,683,027","291,362,393","95,477,245","1,212,137,344","77,232,826"
95Q2,2130564115,1784381436,19537933.36,37307531.52,17769598.16,0.995840788,8507671.028,143489.6949,5541416.219,6442313.163,15911.09013,1471920.074,535653.1236,1040423.888,4639301.416,1951227,1414272.82,,449383.0787,6338217.517,2733723.427,3695100.337,644883,"55,695,094","280,039,157","98,681,585","1,252,686,049","97,864,926"
95Q3,2159587704,1803042601,19768983.37,37890918.19,18121934.82,1.005075244,8762041.108,154610.1302,5496492.241,6768878.128,18588.92579,1570677.873,569853.6667,953899.1111,4631212.822,2017860,1255192.183,,392904.4222,6648881.75,2652531.067,3865278.283,636755.65,"54,528,616","278,494,408","88,465,235","1,276,307,279","106,991,358"
95Q4,2276681198,1916939924,20818765.64,39875583.96,19056818.32,0.99412705,9480272.167,151867.3326,6038501.563,6842909.754,15295.92175,1624623.236,679065.1875,959444.9816,4947389.732,1979616.066,1329958.121,,387967.5846,7134249.853,2796693.243,4144189.938,687035.6802,"53,871,774","294,118,169","97,889,194","1,360,817,523","111,610,053"
96Q1,2350564391,2014859581,21020926.73,41060428.44,20039501.71,0.994585523,9650623.646,158906.5889,6128176.791,7048332.436,15064.97145,1683340.252,719255.0411,947608.9534,5158489.332,2079786.907,1424959.518,,314141.2822,7363339.8,2709723.225,4191095.923,684395,"55,111,023","309,567,989","110,975,231","1,424,898,324","114,991,952"
96Q2,2492264833,2120199738,20753266.28,41516103.7,20762837.42,0.979286859,9828918.981,156019.197,6377735.116,7066171.455,12601.82496,1761819.204,813293,986825.9889,5172607.389,1793704.333,1471956.878,,263366.5889,7538235.444,2716661.044,3995051.333,728012.5333,"63,588,112","319,963,784","115,206,728","1,506,129,406","118,145,961"
96Q3,2522597040,2101597823,20995612.11,42308089.39,21312477.29,1.014108268,10019830.82,161821.0089,6510661.199,7465104.87,14036.13924,1660586.596,852177.2762,936836.7293,5118797.122,2082126,1330002.635,,236604.6188,7829466.05,2576767,4093025.437,804144,"58,771,563","305,910,869","105,396,408","1,512,625,925","119,292,491"
96Q4,2583005774,2154432554,21857157.37,43280868.38,21423711.01,0.994401564,10249418.51,154540.0126,6638949.404,7116421.605,13349.74341,1709613.083,987905.6593,1010947.641,5147924.004,2319256,1415064.714,,192118.4982,8095197.088,2695860.223,4455592.106,810675.7106,"59,829,544","304,341,654","106,531,496","1,556,847,814","127,441,351"
97Q1,2640370544,2231950351,22013235.46,43931516.39,21918280.94,0.982023678,10263693.39,180317.2813,6906183.616,7389459.89,10722.20245,1780060.389,1107601.959,972199.4767,5137904.521,2305539.721,2497516.943,,183871.0575,8277699.406,3473235.082,3659443.153,838426,"66,880,699","305,601,725","174,167,902","1,545,859,615","139,892,638"
97Q2,2716538358,2284686208,22979390.51,45347715.97,22368325.46,0.979054602,10561702.05,203842.0486,7145248.836,7641482.68,11736.32497,1894052.344,1157562.056,1073904.023,5323870.91,2428317.079,2390854.618,,175466.8652,8544441.348,3357860.258,4157465.247,813329,"67,259,338","313,436,315","173,391,437","1,584,178,291","147,135,646"
97Q3,2791402093,2336807498,23676116,46242575,22566459,0.965696105,10747818.22,132722.083,7537037.361,7725847.838,14128.40294,1826824.099,1332233,1186130,5220867,2429327,2403324,,168915,9089070,3408297,4054526,908826,"71,904,549","312,234,726","185,120,959","1,613,650,640","153,896,624"
97Q4,2892473867,2408480516,25279029.33,47969671.67,22690642.35,0.942114424,11105478.72,213269.0505,7278909.601,7237846.963,13473.95144,1911246.536,1449974.471,1656791.555,5700307.055,2631737,2847810.776,,167620.4081,9258084.783,4031551.074,4327290.063,916856,"97,851,905","339,827,870","209,257,086","1,623,921,701","139,331,680"
98Q1,2982809599,2502078378,25849565.29,48670711.41,22821146.12,0.91208758,10642422.33,189529.5472,7765921.148,7157314.344,18720.99171,2058954.987,1543691.521,1583417.323,6053592.855,2588023.063,2940727.299,,184587.6986,9252416.203,4219210.501,4388738.882,1050202,"94,068,185","365,850,374","210,440,011","1,675,674,132","157,309,788"
98Q2,3054674991,2556002603,26002896.45,49869980.07,23867083.62,0.933766014,11233321.89,184366.3599,8501877.772,7305665.309,17018.86725,2102868.855,1588579,1066495.011,6227393,2683731,2583434,,187513,9344836.483,3915124,4844643.966,957435,"78,194,563","380,278,404","207,545,483","1,741,514,834","152,910,264"
98Q3,3131129127,2593544408,27297564.67,51788855.7,24491291.03,0.944317397,11243053.43,205607.8957,8740887.419,7564669.728,14167.86194,2366904.046,1695233,1340608,6275239.75,2870649,2819043.572,,168735.5111,9530982.022,4131054.928,5004670.206,1065333,"75,446,884","382,140,184","204,968,557","1,795,790,273","135,558,020"
98Q4,3309765113,2767067780,26675198.74,52166220.2,25491021.46,0.921228661,11346372.74,216070.079,9435602.811,7949283.21,24301.40069,1800062.681,1755052.276,1320649.585,7063461.199,1723883,2747963.217,,158876.1802,10000069.77,4132348.684,4401502.103,1081616,"85,586,008","427,249,301","223,136,520","1,902,745,213","128,368,664"
99Q1,3266293144,2777379025,25660514.14,51721098.76,26060584.62,0.938315743,11573554.19,187858.3219,8976448.041,7616380.352,25153.73285,2220556.368,2058812.986,1291734.216,7042737.096,1857249,2521870.458,,148302.3041,9268984.011,3799290.389,4791708.438,1041016,"82,138,400","430,920,083","212,052,141","1,934,152,976","119,442,709"
99Q2,3274855609,2773935968,24716648.47,50380896.57,25664248.1,0.925192521,11460667.2,188502.8537,9241418.87,6349829.101,20945.48389,2066050.2,2073946,1348592.955,7450738.112,1774740,2496914.798,,152700.5281,9036070.944,3737045,4560320,1011550,"83,626,067","449,671,200","206,240,030","1,926,184,353","108,216,913"
99Q3,3289149139,2775291931,25443424.13,51717333.04,26273908.91,0.946707934,13153503.73,189399.1015,8908621.665,8104539.431,27536.67407,2207717.889,1602492.317,1025309.783,7602246.839,1513584,1953361.606,,138555.15,9443233.411,3654427.183,5076720.383,1085121,"75,418,896","474,937,306","180,219,698","1,953,343,201","91,800,679"
99Q4,3522214005,2937243265,30141721.27,57726473.63,27584752.36,0.93913748,15922222.2,199804.684,10704609.04,6490329.691,15632.14287,2551382.559,2026983.886,1324717.349,8642217.978,1742779.327,2263930.827,,164865.0257,10642350.4,4369107.074,6885923.89,1153092.191,"88,608,050","525,581,796","183,659,397","2,036,339,921","104,599,056"
00Q1,3571342463,3000056905,30351206.23,57328057.77,26976851.53,0.899211328,14738138.86,185290.1898,11623751.09,6543916.673,26948.42411,2659737.154,1845596.373,1234997.066,8558779.055,1976306,2385212.888,,176353.1945,10929893.03,4438738.71,6087951.304,1158861,"77,410,927","529,760,578","188,528,176","2,083,415,649","121,470,469"
