date,assets,assets_avg,assets_ie,assets_ie_avg,assets_tr,equity,tier1,tier1_avg,tier1c,rwa,netintinc,nonintinc,nonintexp,nonintinc_tr,alll_lvl,lllp_lvl,tstock_prchs,dividends,impair_gw,impair_oint,inc_extra,nonintexp_comp,nonintexp_prop,dep_dom,dep_fgn,loans,loans_avg,loans_ci,loans_cld,loans_mfam,loans_nfnr,loans_heloc,loans_sfam,loans_sfam_l1,loans_sfam_l2,loans_cons,loans_cc,loans_consxcc,nchg,nchg_ci,nchg_cld,nchg_mfam,nchg_nfnr,nchg_heloc,nchg_sfam,nchg_sfam_l1,nchg_sfam_l2,nchg_cons,nchg_cc,nchg_consxcc,inc_tr_assets,nim_with_tr_assets_y9,nim_ta
08Q2,11539301198,11527800113,8293357436,8253133667.5,1769797476.5,866096538,599411708,578584711,403495188,7391283247,68830201.933,56745001.978,93164389.511,-8154586,97463488.5,35773137.044,236156,11301582,7139680,2039958.5111,-267235,39936846.911,8854917.2444,2649551758,1208992624,4902293969,4898560057.5,763215604.5,196930256.5,54101153.5,362537218,413587929.5,1272132013.5,1105563225.5,166568788,913971637.5,336306436,577665201.5,20782486.978,2204167.8889,1045813.4889,40702,274608.86667,1998713,4754173.3556,2853714.6667,1900458.6889,10080658.822,5528970.3333,4551688.4889,16526721,0.6867272751,0.5970801129
08Q3,11829170798,11680528629,8552903632,8423130534,1714156896,835540818,599315545,599363626.5,403678849,7626072285,69599647,50143232,103462122,-8906760,115233385.5,41347960,2077791,11054881,20259781,1978335,1050768,37571576,9154808,2742638830,1189018119,5188307630,4943921573,780590376.5,201722115.5,70175409.5,370664293,450609374.5,1311687932.5,1141246623,170441309.5,928369416.5,352414161,575955255.5,23893188,2554360,1385559,40321,229351,2412559,5857447,3802617,2054830,10768379,5726723,5041656,16142965,0.6865707171,0.5958604205
08Q4,12200216391,11654975251,8239000961,8454542873.5,1570166322.5,901230347,699435011,654432702.5,359091846,7485480796,80102715.333,26427348.667,118948501.67,-26730099.67,134829335.5,59776383.667,503025,11003512.333,29220900.333,3415643.3333,5154644,33732604,9954335.3333,2972758398.5,1179868209,5112146621,5192987049.5,827052705,210270435,88922346.5,401912167.5,492056931.5,1363277223.5,1189179521.5,174097702,937867231,372276142.5,565591088.5,29876399.333,4192391.3333,2492188.3333,175895,661544,2794482.3333,6158958,3906471.6667,2252486.3333,12189676.667,6187420.3333,6002256.3333,15240137,0.7990527582,0.6872834443
09Q1,13683559599,12413709171,9789180755,8921270801,1710663958,1094458678,874360316,778200983.5,437831829,8477692102,76043982,97409220,104767334,21187963,150947781,51005415,131500,7437757,1681681,2528979,-22394,49132436,10164949,3011167805.5,1106657968,5083062279,5153364612,781564771.5,190922873.5,88805902,382140002,494120250,1342003421.5,1179767818,162235603.5,918310783.5,356075111,562235672.5,31485677,4483608,1598377,83465,317366,3520555,6362021,3829572,2532449,14072723,7933620,6139103,16550517,0.7152412399,0.6125806635
09Q2,13469081630,13599348275,9787647171,9807513218,1967331385,1126752680,898519847,889914145.5,529531066,8313946974,76107506,100871908,114897042,17708968,172360869,54846632,73798,8299642,2398120,2510207,-3731761,52459730,10163412,3085080182,1041425449.5,5002027940,5092621407,749307836.5,185120407,90394764,384133218,499329422.5,1341604014.5,1190001114.5,151602900,941908367,366639778,575268589,41045035,6022965,2251593,148820,559684,4522902,8477250,5642565,2834685,16510840,9841309,6669531,14594537,0.6463567764,0.5596408332
09Q3,13342808674,13405945152,9724974722,9756310946.5,1986409534.5,1151314516,916941726,907730786.5,611197415,8169644189,75732099,96208431,109749279,19903271,182903458.5,49597495,88292,5304075,-554704,2584306,-1098398,51901539,10342341,3082609627,1087445987.5,4846341478,4920156582,700172468.5,176748994,91219242.5,381210441,494419532,1293289680.5,1151529403.5,141760277,933634997,360518828.5,573116168.5,42296370,5809411,3179770,315770,1049912,4553785,8567183,5618949,2948234,16665515,10044026,6621489,14065096,0.6449280567,0.5649142835
09Q4,13459570505,13400062119,9822817608,9774190661,1994952024.5,1136880564,890553807,906181148.5,644079242,8189533581,73939201,78118928,106324614,5832936,186237577.5,47676910,226061,7133139,,2385857,-1650984,42093962,10947441,3120147667,1140373914.5,4755443253,4822654636,664829741,168063290.5,92228582,378690211,490434243.5,1261168141.5,1127072905,134095236.5,914636636,355082738.5,559553897.5,47966353,5781838,3080500,403746,1334477,4866300,13000325,9297352,3702973,17190622,9765800,7424822,13557112,0.6282462791,0.5517825242
10Q1,13722148178,13590859342,10149108088,9985962848,1974722097.5,1142216022,885041455,887797631,662535137,8020953852,83048164,105822772,114898341,27512570,202834651.5,41509289,2690740,3402767,,2317667,78597,53640929,9894579,3145358286,1127111642,5039928369,5130860747,639981755,158213220,92358854,384254833.5,489757915.5,1244093663.5,1116990747,127102916.5,1062779244,504744741.5,558034502.5,46646364,4219350,2231156,295201,1059461,4796236,8945741,6378107,2567634,23495419,18179556,5315863,13088303,0.6943428773,0.6110589619
10Q2,13820186050,13771167114,10215671976,10182390032,1963349064.5,1177533525,911462031,898251743,689683005,7896327777,79882172,92690566,113159609,13741802,214568809,31179845,270112,2847824,,2374183,442735,50904205,9829931,3132925207.5,1066601632,4976371290,5004902241,626937069.5,147695538.5,92276458,386674033.5,487064583.5,1221795734,1101967921.5,119827812.5,1203746983.5,645748945,557998038.5,40634871,3441908,1736288,290371,1640375,3922747,7842433,5904694,1937739,20925573,16554667,4370906,13299342,0.6576970851,0.5800682784
10Q3,13700067993,13760127022,10025857086,10120764531,2027544159.5,1215528727,937928262,924695146.5,720804094,7927274285,78512961,87581285,122156772,12393913,204329881,25821931,3065425,3153419,10401770,2275201,-233001,50337606,9812142,3122308089,1063405055,4942420096,4911332500,616424012.5,137333314.5,90594487,381810239,480261437.5,1210472230,1097212084.5,113260145.5,1174001219.5,629976138.5,544025081,36183752,3504149,2109378,248603,1602473,3623910,6718499,4896420,1822079,17517155,13776816,3740339,13217648,0.6462871746,0.5705831122
